feature_name,correlation_mean,correlation_std,global_correlation,ic_mean,ic_std,stability_over_time,temporal_variance,distribution_shift,signal_score,rank
price_vs_sma50,0.05360378135802125,0.3586344782272294,0.04894714136835812,0.05360378135802125,0.3586344782272294,0.11631662939578032,0.8139989376068115,0.14282843098044395,0.05360378135802125,12
momentum_x_volatility,0.04946312657690138,0.3542862701591924,0.042701053296705156,0.04946312657690138,0.3542862701591924,0.11836381856009508,0.6470502018928528,0.1653808974660933,0.04946312657690138,13
momentum_x_regime,0.04916754597344187,0.3365933614649343,0.047948078753507165,0.04916754597344187,0.3365933614649343,0.10789094885237353,0.5676485300064087,0.1475876197218895,0.04916754597344187,14
sma_50,0.04758923832909827,0.31408310812644497,0.034643025450019134,0.04758923832909827,0.31408310812644497,0.12070610313468735,0.01610882580280304,0.05593965947628021,0.04758923832909827,15
relative_strength_20,0.04716745248824627,0.3454157792839122,0.04701002639785059,0.04716745248824627,0.3454157792839122,0.11544423747963747,0.8112748265266418,0.10050386190414429,0.04716745248824627,16
momentum_20,0.04699016389655309,0.3444912552303609,0.046754228303775784,0.04699016389655309,0.3444912552303609,0.1161396585939031,0.8071300983428955,0.10120471124537289,0.04699016389655309,17
breadth_dispersion,0.04405284600423233,0.5283258977804294,0.0013984215825816543,0.04405284600423233,0.5283258977804294,0.07540814632050098,0.7878472805023193,0.8965275939553976,0.04405284600423233,18
market_volatility,0.03741862094308706,0.5302304627875842,0.0008728104186652639,0.03741862094308706,0.5302304627875842,0.08527037235905677,0.8757586479187012,0.909181784838438,0.03741862094308706,19
cross_sectional_volatility,0.03741862094308706,0.5302304627875842,0.0008728104186652639,0.03741862094308706,0.5302304627875842,0.08527037235905677,0.8757586479187012,0.909181784838438,0.03741862094308706,20
breadth_up_pct,-0.03624075194499509,0.5280994792165687,-0.001685949711684962,-0.03624075194499509,0.5280994792165687,0.07522773041827,0.9211370944976807,0.10933969216421247,0.03624075194499509,21
MACD_hist,0.03174227391478591,0.28501408595117456,0.0164343127794344,0.03174227391478591,0.28501408595117456,0.0945893602619901,0.1718614101409912,0.05794867128133774,0.03174227391478591,22
corr_x_volatility,-0.025946134167407407,0.4144680213444848,-0.02535013739231841,-0.025946134167407407,0.4144680213444848,0.147928306010531,0.5464136600494385,0.24760574102401733,0.025946134167407407,23
volume_spike,0.02313152380170552,0.3039277542353363,0.0277188222504014,0.02313152380170552,0.3039277542353363,0.08678333654432473,0.9171029329299927,0.018815472722053528,0.02313152380170552,24
lag_rank_return_1,0.020159146242997618,0.3251997975048471,0.02497096956039593,0.020159146242997618,0.3251997975048471,0.06693788810963332,0.9812136292457581,0.02738187462091446,0.020159146242997618,25
volume_acceleration,0.018021828270363277,0.3021102583584248,0.02034852809842302,0.018021828270363277,0.3021102583584248,0.07660931818021045,0.9473147392272949,0.01981794834136963,0.018021828270363277,26
volatility_20,-0.017838973125332735,0.4046684219359177,-0.022350413974961212,-0.017838973125332735,0.4046684219359177,0.14077611872683998,0.6526824235916138,0.11600401997566223,0.017838973125332735,27
volume_zscore,0.01699172399365493,0.297626506113054,0.026714153156246208,0.01699172399365493,0.297626506113054,0.08119016321986318,0.9451382160186768,0.006570309400558472,0.01699172399365493,28
time_since_regime_change,-0.01600184952352687,0.32452847703753257,-0.017095979304964003,-0.01600184952352687,0.32452847703753257,0.11506692472435766,0.4717210531234741,0.1094258725643158,0.01600184952352687,29
abnormal_volume_indicator,0.013834557781496318,0.26887305237077286,0.015962753265744388,0.013834557781496318,0.26887305237077286,0.06506779660176047,0.7424280643463135,0.01974494755268097,0.013834557781496318,30
rolling_rank_std_10,-0.011786102812346213,0.30642808580562625,-0.009963902819879224,-0.011786102812346213,0.30642808580562625,0.10760586513597768,0.7510135173797607,0.03162163868546486,0.011786102812346213,31
asset_market_corr_20,-0.011634695879227826,0.3923036519700776,-0.012721912979942504,-0.011634695879227826,0.3923036519700776,0.141578677017481,0.6417678594589233,0.142813584767282,0.011634695879227826,32
high_vol_regime_flag,0.010509750690556482,0.3072431561420575,0.0070067479378610525,0.010509750690556482,0.3072431561420575,0.10708368945580368,0.8862402439117432,0.24188926815986633,0.010509750690556482,33
momentum_x_volume,0.01039059283701885,0.29951620684661784,0.022434943066437965,0.01039059283701885,0.29951620684661784,0.0921699339417435,0.8199154138565063,0.11124542355526573,0.01039059283701885,34
correlation_cluster_strength,-0.009546842338692059,0.3778770822407889,-0.010127570805475014,-0.009546842338692059,0.3778770822407889,0.13458612974823952,0.7079989910125732,0.07987430691719055,0.009546842338692059,35
price_volume_divergence,0.008971663717341007,0.30766337134645505,0.06159258544501911,0.008971663717341007,0.30766337134645505,0.06388552348128135,0.9128037691116333,0.08719994872808456,0.008971663717341007,36
previous_regime_state,0.008765397940947701,0.36686588667482367,0.008855762306815245,0.008765397940947701,0.36686588667482367,0.15624060387813946,0.5848072171211243,0.20557621121406555,0.008765397940947701,37
regime_change_flag,0.008492684238016428,0.25952843080369437,0.005611865213781172,0.008492684238016428,0.25952843080369437,0.0702694245381982,0.7268021106719971,0.1980428844690323,0.008492684238016428,38
top_bottom_spread,-0.0014301471542481038,0.5320197577450978,0.0008045612797675333,-0.0014301471542481038,0.5320197577450978,0.07602969910060148,0.8708733320236206,0.9325445368885994,0.0014301471542481038,39
volatility_x_regime,-0.0013109604986492392,0.37400128438987507,-0.0006280908097907667,-0.0013109604986492392,0.37400128438987507,0.16099401990720325,0.4790976941585541,0.2481463998556137,0.0013109604986492392,40
